了解です,はーい,了解しました,はーい、了解だよ
いいですね,よろしくお願いします,いい感じですね,よろしくね
おはようございます,こんばんは,おはよう?,こんばんは?
寒いですねー,お疲れ様です,今日も寒いね,おつかれさまです
おやすみなさい,ありがとうございます,おやすみ?,本当にありがとうございます
いつもありがとう,ぺこり,いつも本当にありがとう,ぺこっ
お願いします,わーいやったー,どうぞよろしくね,わーい！やったね
GOOD,無理しないでね,GOODです！,無理しないようにね
いつも感謝です,風邪に気を付けましょう,いつも感謝してます,風邪ひかないように気をつけてね
身体はあたためてね,寒すぎるー,体をしっかり温めてね,寒すぎてこまる?
うんうん,楽しみにしてます,うんうん、わかるよ,楽しみにしてるよ
暖かくして,Merry Christmas,あたたかく過ごしてね,Merry Christmas！
プレゼントありがとう,クリスマスプレゼントかな？,プレゼントありがとうね,これはクリスマスプレゼントかな？
ステキなクリスマスになりますように,今年もお世話になりました,素敵なクリスマスになりますように,今年も本当にありがとうございました
よいお年をお迎えください,あけましておめでとうございます,よいお年をお迎えくださいね,新年あけましておめでとうございます
いいことたくさんありますように,お年玉待ってます,良いことがたくさんありますように,お年玉まってるよ?
お年玉ありがとう,謹賀新年,お年玉ありがとう?,新年のご挨拶
今年もよろしくお願いします,良い年になりますように,今年もどうぞよろしくお願いします,素敵な一年になりますように
つらい…,大丈夫？,つらいね…,大丈夫かな？
ゆっくり休みます,ではでは,ゆっくり休んでね,それではまたね
